Orchard Age,Block,"Distance (meters, to the nearest meter)"
15,1,3
15,2,3
15,3,3
15,4,3
15,5,3
15,6,3
40,1,24
40,2,85
40,3,143
40,4,73
40,5,67
40,6,107
60,1,43
60,2,66
60,3,52
60,4,24
60,5,32
60,6,73
